,x
407,GATA6
408,CNTNAP1
409,SPRR1A
410,CD59
411,AMPH
412,FAP
413,MXRA5
414,AKR1C2
415,SLC9A4
416,SLC66A3
417,TNFAIP8L3
418,HYCC1
419,KANK2
420,FABP1
421,FAT4
422,MOXD1
423,PIK3IP1
424,DCLK1
425,IL4I1
426,UNKL
427,MMP11
428,C12orf50
429,PIWIL2
430,ADAMTSL3
431,SLIT2
432,ANTXR1
433,FKBP7
434,VMAC
435,POTEF
436,MUSTN1
437,TRPV2
438,LRRC17
439,CAV2
440,GFAP
441,CPQ
442,BORCS8
443,LRRC32
444,HELB
445,APOD
446,L3HYPDH
447,GLUD2
448,AXL
449,GALNT5
450,RNASE4
451,TIMP2
452,HRC
453,GPD1
454,HMCN1
455,CYGB
456,SYN1
457,GAS6
458,CD248
459,DPEP1
460,DPYS
461,WNT4
462,OGFRL1
463,COL5A2
464,ITGA8
465,GXYLT2
466,FGF2
467,CRYBB1
468,ITGA5
469,CCND1
470,EGR2
471,IGLV5-39
472,GPC1
473,ITIH3
474,ECM1
475,PDLIM5
476,HSPG2
477,CCN5
478,HSD17B14
479,PCDHGA12
480,NECAB3
481,CHGB
482,MYL3
483,KRT13
484,DTNA
485,HIC1
486,DMD
487,FOLR2
488,TSC22D3
489,SPDL1
490,NUP210
491,XRCC1
492,PIAS4
493,MB
494,PAX2
495,RBBP8NL
496,HOMEZ
497,SNUPN
498,EFNA1
499,HSP90AA1
500,ST14
501,ZNF268
502,ECE1
503,NSMCE4A
504,ENPP5
505,KLF4
506,RPA1
507,CDC123
508,BAZ1A
509,DNAJC12
510,PDS5B
511,CACNA1H
512,TSR1
513,GATB
514,NSMCE3
515,UBAP2
516,USP43
517,MITD1
518,HGF
519,PRPS2
520,DHX40
521,GRB7
522,ACAT2
523,SMARCA5
524,TADA2B
525,IGKV1-37;IGKV1D-37
526,SMC3
527,EXOSC10
528,CDY1B
529,YBEY
530,FIZ1
531,HOMER2
532,CENPU
533,HAUS6
534,RAD1
535,RBBP4
536,NCBP1
537,C2orf72
538,PDS5A
539,VPS13A
540,UPF3B
541,MTG2
542,RAD21L1
543,SMC1A
544,GEMIN8
545,HPRT1
546,ORC3
547,IQGAP3
548,PPP2R1B
549,RCC2
550,GON4L
551,CRIPT
552,NFATC2IP
553,RAC3
554,PHF6
555,EXOSC5
556,SIGIRR
557,KDM1A
558,TMCO1
559,OTUD5
560,TCEANC2
561,PMS2
562,CARNMT1
563,RNGTT
564,DEK
565,FHIP1A
566,HMGN5
567,PHACTR4
568,RNASEH1
569,MYB
570,DNMT3A
571,KCP
572,SMN2
573,FBP2
574,IFT52
575,KDM1B
576,HYDIN
577,KDM3A
578,PLPP2
579,PPAT
580,OTOG
581,POLE3
582,PRKDC
583,ATAD5
584,SULT2B1
585,SMCHD1
586,S100A2
587,CTR9
588,BBX
589,BLTP1
590,CTDSPL2
591,TMEM238
592,CITED4
593,TTC39B
594,B4GALT5
595,TFAP4
596,AK6
597,GRHL2
598,DTX2
599,ZNF629
600,CXCL1
601,ERCC6
602,GKAP1
603,GLMN
604,CHN1
605,DCK
606,ATXN7
607,TOE1
608,SURF2
609,CLN6
610,B4GALNT2
611,KAT2B
612,MOGAT2
613,IFITM1
614,CCNL1
615,THOC2
616,LIN9
617,RB1CC1
618,ACTMAP
619,EMC9
620,KLHDC4
621,TACC3
622,TBC1D21
623,GSTCD
624,PMF1
625,CERS2
626,SDHAF2
627,NAA40
628,SEMA4D
629,ANKRD52
630,DXO
631,RLF
632,EAF1
633,FANCI
634,H1-3
635,RAB3IP
636,KIFBP
637,ECD
638,GPN2
639,HERC5
640,KAT2A
641,IPO11
642,SSRP1
643,POLA1
644,ANKZF1
645,ZNF536
646,MYORG
647,CHST6
648,NOA1
649,MBD4
650,SCAP
651,MTHFD1L
652,ASNS
653,SLBP
654,CYP11A1
655,BCL2L11
656,ST6GAL1
657,PPP1R14C
658,IDH2
659,C5orf22
660,DHTKD1
661,RIF1
662,TMPO
663,BCL7A
664,NSL1
665,PRMT6
666,SLC24A1
667,PHLDA2
668,NVL
669,CSE1L
670,WNK2
671,MAP7
672,PLK1
673,SAAL1
674,GNLY
675,CXCL17
676,ERAL1
677,CHUK
678,PARP1
679,KRT71
680,UHRF2
681,CHD1
682,H1-5
683,PROSER1
684,RIMBP2
685,CRYM
686,OXCT1
687,MKI67
688,TMEM41A
689,IGF2BP3
690,TOP1
691,PSIP1
692,HMGB2
693,KLHL14
694,POLR3K
695,LNX1
696,APOBEC3B
697,GGH
698,PSPH
699,ING4
700,SMC5
701,TTK
702,ZNF24
703,CTSV
704,STRBP
705,USP28
706,HPDL
707,DTYMK
708,IGF2BP1
709,CHST5
710,CADM4
711,SLC16A3
712,CIP2A
713,ZBTB7B
714,CDKN1A
715,SHMT2
716,KNTC1
717,TG
718,ELF3
719,GPATCH11
720,GMPS
721,CRYBG1
722,CD96
723,F3
724,CDT1
725,CBX5
726,PHGDH
727,ITPRIPL2
728,FCGBP
729,INTS7
730,MED23
731,ASS1
732,PHF12
733,KIF23
734,PARD6A
735,ORC5
736,NPM2
737,SUPT16H
738,IPO9
739,TACSTD2
740,CDX2
741,POLE2
742,NSD2
743,MASTL
744,MDC1
745,PDCD7
746,MTHFD2
747,ARHGAP5
748,CHEK2
749,SLC7A5
750,AGTPBP1
751,MTHFD1
752,PATZ1
753,KATNIP
754,ALCAM
755,EEF1AKMT4
756,RRM2
757,CMSS1
758,FAM133B
759,TOP3A
760,UBR7
761,TUBE1
762,CDK4
763,POLE4
764,SMOC1
765,CELSR2
766,DYNLT2B
767,INCENP
768,SAP30
769,CALML5
770,PXMP2
771,AURKA
772,ULBP2
773,CASP2
774,PIGX
775,PRR36
776,PEG10
777,ANLN
778,DSN1
779,PAFAH1B3
780,RFX3
781,ESPN
782,SLC1A4
783,CA9
784,CBX2
785,RNF168
786,NUSAP1
787,TRAF4
788,DDB2
789,MUC16
790,EED
791,GNE
792,PM20D2
793,ERBB3
794,GGTLC1
795,TMEM9
796,CHAF1A
797,SMPDL3B
798,MLF1
799,NCAPG2
800,CDK2
801,PRODH
802,MCMBP
803,SIX4
804,RBBP7
805,POLD2
806,RFC1
807,PLEKHS1
808,ERCC6L
809,CLDN4
810,ECT2
811,MTMR4
812,POLE
813,REPIN1
814,CDCP1
815,IGLV3-21
816,ADAMDEC1
817,TFRC
818,HIRIP3
819,SERPINB3
820,MAD2L1
821,VRK1
822,MPZL2
823,DNAJC9
824,COCH
825,BSPRY
826,GRPEL2
827,CGAS
828,PTPRD
829,TIFA
830,SMC2
831,SLC7A1
832,STMN2
833,SLFN11
834,KRT17
835,SERPINB4
836,FOXA1
837,EPCAM
838,CA12
839,IRF7
840,RAD54L2
841,SLC34A2
842,KIF20A
843,TNFSF10
844,ZNF273
845,HMCES
846,HMGB3
847,ADGRA3
848,DNMT1
849,IDO1
850,SMC4
851,RAD51C
852,IMPA2
853,MSH2
854,SUZ12
855,HAUS4
856,ARG2
857,BRCA1
858,FIRRM
859,POLD1
860,KIF11
861,EBP
862,DYNC2I2
863,CLDN7
864,RAD51AP1
865,AFF1
